i_avg,i_city,i_thread,elapsed_time
0,1,2,0.000881402
0,1,10,0.00337294
0,1,18,0.00491037
0,1,26,0.00743118
0,1,34,0.00992738
0,1,42,0.0125357
0,1,50,0.01214
0,1,58,0.0135952
0,1,66,0.015605
0,1,74,0.0176668
0,1,82,0.0194251
0,1,90,0.0213566
0,1,98,0.0234519
0,1,106,0.0248786
0,1,114,0.0274577
0,1,122,0.0289883
0,1,130,0.0313219
0,1,138,0.0331934
0,1,146,0.0350158
0,1,154,0.0373147
0,1,162,0.0390655
0,1,170,0.0405592
0,1,178,0.0429719
0,1,186,0.0450037
0,1,194,0.0472206
0,1,202,0.0493746
0,1,210,0.0506163
0,1,218,0.0523156
0,1,226,0.0539569
0,1,234,0.0562007
0,1,242,0.0581406
0,1,250,0.0605954
0,2,2,0.000656051
0,2,10,0.00252715
0,2,18,0.00437092
0,2,26,0.00627674
0,2,34,0.00819872
0,2,42,0.0100548
0,2,50,0.0121777
0,2,58,0.0139463
0,2,66,0.0157435
0,2,74,0.0178495
0,2,82,0.0196078
0,2,90,0.0215903
0,2,98,0.023489
0,2,106,0.0255267
0,2,114,0.0277539
0,2,122,0.0292083
0,2,130,0.0311507
0,2,138,0.0334048
0,2,146,0.0353259
0,2,154,0.036774
0,2,162,0.0390161
0,2,170,0.0408568
0,2,178,0.0428973
0,2,186,0.0450007
0,2,194,0.0467495
0,2,202,0.0492452
0,2,210,0.0508664
0,2,218,0.0523438
0,2,226,0.0547225
0,2,234,0.0560637
0,2,242,0.058426
0,2,250,0.0603826
0,3,2,0.000644393
0,3,10,0.00249215
0,3,18,0.00448227
0,3,26,0.00637318
0,3,34,0.00828259
0,3,42,0.0101251
0,3,50,0.0122537
0,3,58,0.0143278
0,3,66,0.0161758
0,3,74,0.0178118
0,3,82,0.0198373
0,3,90,0.0218938
0,3,98,0.0235493
0,3,106,0.0256374
0,3,114,0.0277885
0,3,122,0.0298416
0,3,130,0.0314347
0,3,138,0.0335049
0,3,146,0.0352395
0,3,154,0.0371957
0,3,162,0.0393838
0,3,170,0.0410694
0,3,178,0.043318
0,3,186,0.0448432
0,3,194,0.0467218
0,3,202,0.0490657
0,3,210,0.0505762
0,3,218,0.0525886
0,3,226,0.0545551
0,3,234,0.0567786
0,3,242,0.0578912
0,3,250,0.0595868
0,4,2,0.000761965
0,4,10,0.00244427
0,4,18,0.00412044
0,4,26,0.00607024
0,4,34,0.00793881
0,4,42,0.0097537
0,4,50,0.0117484
0,4,58,0.0135403
0,4,66,0.0155738
0,4,74,0.0177567
0,4,82,0.0197654
0,4,90,0.0211094
0,4,98,0.0231516
0,4,106,0.0251234
0,4,114,0.0269532
0,4,122,0.0289984
0,4,130,0.0306604
0,4,138,0.0329678
0,4,146,0.0349627
0,4,154,0.0366225
0,4,162,0.0390153
0,4,170,0.0410018
0,4,178,0.042227
0,4,186,0.0446107
0,4,194,0.0462239
0,4,202,0.0482306
0,4,210,0.0619497
0,4,218,0.051865
0,4,226,0.0536668
0,4,234,0.055948
0,4,242,0.0576297
0,4,250,0.0601059
0,5,2,0.000975571
0,5,10,0.00244638
0,5,18,0.00434364
0,5,26,0.00626148
0,5,34,0.00817226
0,5,42,0.0101852
0,5,50,0.012175
0,5,58,0.0138522
0,5,66,0.0158079
0,5,74,0.0178225
0,5,82,0.0193615
0,5,90,0.0215458
0,5,98,0.0235147
0,5,106,0.0251623
0,5,114,0.0273654
0,5,122,0.0292322
0,5,130,0.0309053
0,5,138,0.0329586
0,5,146,0.0350834
0,5,154,0.0365651
0,5,162,0.0386298
0,5,170,0.0405702
0,5,178,0.0424053
0,5,186,0.0444563
0,5,194,0.046256
0,5,202,0.0483978
0,5,210,0.0498414
0,5,218,0.0521067
0,5,226,0.0536606
0,5,234,0.0555957
0,5,242,0.0581144
0,5,250,0.0595292
0,6,2,0.00116
0,6,10,0.00270805
0,6,18,0.00436836
0,6,26,0.00620297
0,6,34,0.00833235
0,6,42,0.0102042
0,6,50,0.0120995
0,6,58,0.013964
0,6,66,0.0159122
0,6,74,0.0176654
0,6,82,0.0193638
0,6,90,0.0216007
0,6,98,0.0234856
0,6,106,0.0253762
0,6,114,0.0275729
0,6,122,0.0294056
0,6,130,0.0312108
0,6,138,0.0333993
0,6,146,0.0353541
0,6,154,0.0372923
0,6,162,0.0389174
0,6,170,0.0412364
0,6,178,0.0428145
0,6,186,0.0447547
0,6,194,0.0468466
0,6,202,0.0483206
0,6,210,0.0505113
0,6,218,0.052258
0,6,226,0.054548
0,6,234,0.0562829
0,6,242,0.057843
0,6,250,0.0598856
0,7,2,0.00389249
0,7,10,0.00482062
0,7,18,0.00544507
0,7,26,0.00680412
0,7,34,0.00949073
0,7,42,0.0116897
0,7,50,0.013538
0,7,58,0.0147192
0,7,66,0.0164637
0,7,74,0.0182589
0,7,82,0.0207078
0,7,90,0.0241438
0,7,98,0.0241523
0,7,106,0.0269678
0,7,114,0.0275655
0,7,122,0.0302563
0,7,130,0.031803
0,7,138,0.0353835
0,7,146,0.0364111
0,7,154,0.0381323
0,7,162,0.0411536
0,7,170,0.0428881
0,7,178,0.0446728
0,7,186,0.0464789
0,7,194,0.0474303
0,7,202,0.0506017
0,7,210,0.0514935
0,7,218,0.0533174
0,7,226,0.0558286
0,7,234,0.0583723
0,7,242,0.0595999
0,7,250,0.060729
0,8,2,0.0292211
0,8,10,0.0300179
0,8,18,0.0269397
0,8,26,0.0295109
0,8,34,0.0280492
0,8,42,0.0293863
0,8,50,0.0295499
0,8,58,0.030443
0,8,66,0.02844
0,8,74,0.0355385
0,8,82,0.0357108
0,8,90,0.0392549
0,8,98,0.0419618
0,8,106,0.0402268
0,8,114,0.0392543
0,8,122,0.0429493
0,8,130,0.0449081
0,8,138,0.0472527
0,8,146,0.0607873
0,8,154,0.0500585
0,8,162,0.0550381
0,8,170,0.0535646
0,8,178,0.0562824
0,8,186,0.0578752
0,8,194,0.0625483
0,8,202,0.0626271
0,8,210,0.0656709
0,8,218,0.0660814
0,8,226,0.0682014
0,8,234,0.0731483
0,8,242,0.0725723
0,8,250,0.0738215
0,9,2,0.177423
0,9,10,0.232584
0,9,18,0.185095
0,9,26,0.208326
0,9,34,0.235387
0,9,42,0.23657
0,9,50,0.248375
0,9,58,0.251771
0,9,66,0.259502
0,9,74,0.267386
0,9,82,0.277294
0,9,90,0.281388
0,9,98,0.300336
0,9,106,0.318083
0,9,114,0.331955
0,9,122,0.346987
0,9,130,0.359627
0,9,138,0.381878
0,9,146,0.392946
0,9,154,0.389419
0,9,162,0.3993
0,9,170,0.410648
0,9,178,0.420621
0,9,186,0.453393
0,9,194,0.466481
0,9,202,0.468498
0,9,210,0.47812
0,9,218,0.479297
0,9,226,0.47995
0,9,234,0.500798
0,9,242,0.499388
0,9,250,0.513388
0,10,2,1.57056
0,10,10,1.78959
0,10,18,1.68918
0,10,26,1.94889
0,10,34,2.12596
0,10,42,2.26206
0,10,50,2.31622
0,10,58,2.36344
0,10,66,2.42749
0,10,74,2.53874
0,10,82,2.64424
0,10,90,2.77019
0,10,98,2.90006
0,10,106,3.034
0,10,114,3.21858
0,10,122,3.42418
0,10,130,3.65211
0,10,138,3.72008
0,10,146,3.77963
0,10,154,3.90551
0,10,162,4.00226
0,10,170,4.12781
0,10,178,4.3099
0,10,186,4.51293
0,10,194,4.6734
0,10,202,4.81711
0,10,210,4.87618
0,10,218,4.94991
0,10,226,5.03465
0,10,234,5.12328
0,10,242,5.24306
0,10,250,5.34549
0,11,2,13.3883
0,11,10,13.2016
0,11,18,14.2848
0,11,26,16.535
0,11,34,18.0702
0,11,42,18.6514
0,11,50,19.2717
0,11,58,19.4426
0,11,66,20.3431
0,11,74,21.2677
0,11,82,22.1562
0,11,90,23.2695
0,11,98,24.2909
0,11,106,25.5016
0,11,114,26.7114
0,11,122,28.8266
0,11,130,30.8311
0,11,138,31.4042
0,11,146,31.9798
0,11,154,32.8947
0,11,162,33.7966
0,11,170,34.8902
0,11,178,36.4092
0,11,186,38.2924
0,11,194,39.6808
0,11,202,40.4561
0,11,210,41.3425
0,11,218,41.9915
0,11,226,42.512
0,11,234,43.1854
0,11,242,44.2657
0,11,250,45.4269
0,12,2,124.914
0,12,10,163.836
0,12,18,157.407
0,12,26,156.679
0,12,34,169.893
0,12,42,172.695
